number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_n_rnn_layers,state
0,1.0689706802368164,2025-05-15 09:57:52.473739,2025-05-15 09:59:15.293886,0 days 00:01:22.820147,256.0,0.3,240.0,0.01,4.0,COMPLETE
1,0.15973305702209473,2025-05-15 09:59:15.388418,2025-05-15 10:00:47.758178,0 days 00:01:32.369760,256.0,0.1,240.0,0.001,3.0,COMPLETE
2,0.3375602066516876,2025-05-15 10:00:47.819459,2025-05-15 10:02:20.998475,0 days 00:01:33.179016,16.0,0.2,20.0,0.01,2.0,COMPLETE
3,,2025-05-15 10:02:21.036853,2025-05-15 10:03:11.518751,0 days 00:00:50.481898,64.0,0.3,80.0,0.01,4.0,FAIL
4,,2025-05-15 10:03:13.868479,2025-05-15 10:03:14.397882,0 days 00:00:00.529403,,,,,,FAIL
5,,2025-05-15 10:07:37.803889,2025-05-15 10:07:38.292731,0 days 00:00:00.488842,,,,,,FAIL
6,0.15232546627521515,2025-05-15 10:08:15.683797,2025-05-15 10:14:42.908701,0 days 00:06:27.224904,32.0,0.2,240.0,0.0001,3.0,COMPLETE
7,0.15341518819332123,2025-05-15 10:14:42.984430,2025-05-15 10:18:44.155689,0 days 00:04:01.171259,32.0,0.5,20.0,0.0001,1.0,COMPLETE
8,0.1732238382101059,2025-05-15 10:18:44.204257,2025-05-15 10:20:16.889814,0 days 00:01:32.685557,256.0,0.4,120.0,0.01,2.0,COMPLETE
9,0.16760751605033875,2025-05-15 10:20:16.940313,2025-05-15 10:21:42.076469,0 days 00:01:25.136156,128.0,0.1,40.0,0.01,3.0,COMPLETE
10,0.1577998399734497,2025-05-15 10:21:42.115796,2025-05-15 10:26:06.942923,0 days 00:04:24.827127,16.0,0.1,20.0,0.001,3.0,COMPLETE
11,0.1916598379611969,2025-05-15 10:26:06.982717,2025-05-15 10:28:48.479627,0 days 00:02:41.496910,32.0,0.2,160.0,0.01,4.0,COMPLETE
12,0.1516389399766922,2025-05-15 10:28:48.523698,2025-05-15 10:30:17.753551,0 days 00:01:29.229853,64.0,0.3,20.0,0.001,1.0,COMPLETE
13,0.14892038702964783,2025-05-15 10:30:17.817004,2025-05-15 10:31:27.062154,0 days 00:01:09.245150,64.0,0.3,80.0,0.001,1.0,COMPLETE
14,0.14892038702964783,2025-05-15 10:31:27.112772,2025-05-15 10:32:31.995182,0 days 00:01:04.882410,64.0,0.3,80.0,0.001,1.0,COMPLETE
15,0.14892038702964783,2025-05-15 10:32:32.037548,2025-05-15 10:33:37.652349,0 days 00:01:05.614801,64.0,0.3,80.0,0.001,1.0,COMPLETE
16,0.14892038702964783,2025-05-15 10:33:37.697844,2025-05-15 10:34:41.464829,0 days 00:01:03.766985,64.0,0.3,80.0,0.001,1.0,COMPLETE
