number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_n_rnn_layers,state
0,0.8078901767730713,2025-05-14 23:26:32.814325,2025-05-14 23:27:57.700453,0 days 00:01:24.886128,16,0.3,120,0.01,3,COMPLETE
1,0.8118626475334167,2025-05-14 23:27:57.741289,2025-05-14 23:28:52.762519,0 days 00:00:55.021230,128,0.3,10,0.01,3,COMPLETE
2,0.8229027390480042,2025-05-14 23:28:52.789841,2025-05-14 23:29:35.123949,0 days 00:00:42.334108,32,0.5,10,0.01,4,COMPLETE
3,0.8231447339057922,2025-05-14 23:29:35.154642,2025-05-14 23:30:13.963516,0 days 00:00:38.808874,128,0.2,20,0.01,2,COMPLETE
4,0.8234341144561768,2025-05-14 23:30:13.994753,2025-05-14 23:31:18.639138,0 days 00:01:04.644385,32,0.2,20,0.001,2,COMPLETE
5,0.8277350068092346,2025-05-14 23:31:18.668947,2025-05-14 23:32:13.139809,0 days 00:00:54.470862,64,0.2,20,0.001,4,COMPLETE
6,0.07517524063587189,2025-05-14 23:32:13.167419,2025-05-14 23:35:59.343087,0 days 00:03:46.175668,32,0.1,240,0.001,3,COMPLETE
7,0.07535265386104584,2025-05-14 23:35:59.380192,2025-05-14 23:40:01.608811,0 days 00:04:02.228619,16,0.2,240,0.001,3,COMPLETE
8,0.07079283148050308,2025-05-14 23:40:01.635933,2025-05-14 23:41:38.710034,0 days 00:01:37.074101,64,0.4,240,0.001,1,COMPLETE
9,0.8310444355010986,2025-05-14 23:41:38.745066,2025-05-14 23:44:12.609852,0 days 00:02:33.864786,128,0.1,40,0.0001,4,COMPLETE
10,0.07128013670444489,2025-05-14 23:44:12.638879,2025-05-14 23:47:13.937158,0 days 00:03:01.298279,64,0.4,160,0.0001,1,COMPLETE
11,0.07128013670444489,2025-05-14 23:47:13.964459,2025-05-14 23:50:15.424959,0 days 00:03:01.460500,64,0.4,160,0.0001,1,COMPLETE
12,0.07070255279541016,2025-05-14 23:50:15.452984,2025-05-14 23:53:06.535776,0 days 00:02:51.082792,64,0.4,80,0.0001,1,COMPLETE
13,0.07543843239545822,2025-05-14 23:53:06.567805,2025-05-14 23:59:02.919181,0 days 00:05:56.351376,256,0.4,80,0.0001,1,COMPLETE
14,0.06914912909269333,2025-05-14 23:59:02.951210,2025-05-15 00:00:37.955603,0 days 00:01:35.004393,64,0.4,80,0.001,1,COMPLETE
15,0.07070255279541016,2025-05-15 00:00:37.989746,2025-05-15 00:03:32.919396,0 days 00:02:54.929650,64,0.4,80,0.0001,1,COMPLETE
16,0.07225983589887619,2025-05-15 00:03:32.947422,2025-05-15 00:06:22.605548,0 days 00:02:49.658126,256,0.5,80,0.001,1,COMPLETE
17,0.07070255279541016,2025-05-15 00:06:22.633574,2025-05-15 00:09:14.379972,0 days 00:02:51.746398,64,0.4,80,0.0001,1,COMPLETE
18,0.06914912909269333,2025-05-15 00:09:14.406779,2025-05-15 00:10:47.906030,0 days 00:01:33.499251,64,0.4,80,0.001,1,COMPLETE
19,0.09074842929840088,2025-05-15 00:10:47.934056,2025-05-15 00:12:30.301817,0 days 00:01:42.367761,64,0.4,40,0.001,2,COMPLETE
20,0.07064592093229294,2025-05-15 00:12:30.328842,2025-05-15 00:15:19.075801,0 days 00:02:48.746959,256,0.5,120,0.001,1,COMPLETE
21,0.07064592093229294,2025-05-15 00:15:19.108831,2025-05-15 00:18:12.353224,0 days 00:02:53.244393,256,0.5,120,0.001,1,COMPLETE
22,0.07064592093229294,2025-05-15 00:18:12.382250,2025-05-15 00:21:05.021314,0 days 00:02:52.639064,256,0.5,120,0.001,1,COMPLETE
23,0.07064592093229294,2025-05-15 00:21:05.050341,2025-05-15 00:23:55.366350,0 days 00:02:50.316009,256,0.5,120,0.001,1,COMPLETE
24,0.06897645443677902,2025-05-15 00:23:55.395466,2025-05-15 00:25:28.250446,0 days 00:01:32.854980,16,0.3,80,0.001,1,COMPLETE
25,0.06897645443677902,2025-05-15 00:25:28.284046,2025-05-15 00:27:01.336786,0 days 00:01:33.052740,16,0.3,80,0.001,1,COMPLETE
26,0.06897645443677902,2025-05-15 00:27:01.366813,2025-05-15 00:28:34.130851,0 days 00:01:32.764038,16,0.3,80,0.001,1,COMPLETE
27,0.07731698453426361,2025-05-15 00:28:34.158877,2025-05-15 00:30:37.016274,0 days 00:02:02.857397,16,0.3,80,0.001,2,COMPLETE
28,0.07818302512168884,2025-05-15 00:30:37.044299,2025-05-15 00:35:04.793294,0 days 00:04:27.748995,16,0.3,80,0.001,4,COMPLETE
29,0.15272937715053558,2025-05-15 00:35:04.819317,2025-05-15 00:37:24.117490,0 days 00:02:19.298173,16,0.3,80,0.01,3,COMPLETE
30,0.06897645443677902,2025-05-15 00:37:24.145514,2025-05-15 00:38:56.272161,0 days 00:01:32.126647,16,0.3,80,0.001,1,COMPLETE
31,0.06897645443677902,2025-05-15 00:38:56.297223,2025-05-15 00:40:24.796174,0 days 00:01:28.498951,16,0.3,80,0.001,1,COMPLETE
32,0.07316993176937103,2025-05-15 00:40:24.823199,2025-05-15 00:42:44.811995,0 days 00:02:19.988796,16,0.3,10,0.001,1,COMPLETE
33,0.07711493223905563,2025-05-15 00:42:44.839020,2025-05-15 00:43:50.937029,0 days 00:01:06.098009,16,0.3,80,0.01,1,COMPLETE
34,0.07316993176937103,2025-05-15 00:43:50.964054,2025-05-15 00:46:11.894005,0 days 00:02:20.929951,16,0.3,10,0.001,1,COMPLETE
35,0.15272937715053558,2025-05-15 00:46:11.920028,2025-05-15 00:48:26.411544,0 days 00:02:14.491516,16,0.3,80,0.01,3,COMPLETE
36,0.0812254548072815,2025-05-15 00:48:26.438632,2025-05-15 00:52:04.958346,0 days 00:03:38.519714,16,0.3,40,0.001,4,COMPLETE
37,0.07543390244245529,2025-05-15 00:52:04.984369,2025-05-15 00:54:44.136790,0 days 00:02:39.152421,16,0.3,160,0.001,2,COMPLETE
