number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_input_chunk_length,params_lr,params_n_rnn_layers,state
0,,2025-05-14 16:33:25.317866,2025-05-14 16:33:25.603734,0 days 00:00:00.285868,,,,,,,FAIL
1,,2025-05-14 16:47:32.374541,2025-05-14 16:47:32.733142,0 days 00:00:00.358601,,,,,,,FAIL
2,,2025-05-14 16:48:13.683944,2025-05-14 16:48:13.999988,0 days 00:00:00.316044,,,,,,,FAIL
3,,2025-05-14 16:48:28.758448,2025-05-14 16:48:29.138963,0 days 00:00:00.380515,,,,,,,FAIL
4,,2025-05-14 16:48:59.549007,2025-05-14 16:48:59.915700,0 days 00:00:00.366693,,,,72.0,,,FAIL
5,,2025-05-14 16:50:15.335480,2025-05-14 16:50:15.715885,0 days 00:00:00.380405,,,,,,,FAIL
6,,2025-05-14 16:51:08.982644,2025-05-14 16:51:09.366406,0 days 00:00:00.383762,,,10.0,,,,FAIL
7,,2025-05-14 16:52:27.072372,2025-05-14 16:52:27.452431,0 days 00:00:00.380059,,,80.0,,,,FAIL
8,,2025-05-14 16:53:16.172312,2025-05-14 16:53:16.570310,0 days 00:00:00.397998,,,160.0,,,,FAIL
9,,2025-05-14 16:54:12.909235,2025-05-14 16:54:13.290749,0 days 00:00:00.381514,,,240.0,,,,FAIL
10,,2025-05-14 16:55:10.680753,2025-05-14 16:55:11.103382,0 days 00:00:00.422629,,,240.0,,,1.0,FAIL
11,,2025-05-14 16:55:56.173781,2025-05-14 16:55:56.650573,0 days 00:00:00.476792,32.0,0.5,10.0,,0.001,2.0,FAIL
12,,2025-05-14 16:56:57.995515,2025-05-14 16:56:58.437381,0 days 00:00:00.441866,,,,,,,FAIL
13,,2025-05-14 16:57:39.668631,2025-05-14 16:57:40.128668,0 days 00:00:00.460037,256.0,0.1,120.0,,0.01,3.0,FAIL
14,,2025-05-14 16:59:18.656828,2025-05-14 16:59:35.792283,0 days 00:00:17.135455,64.0,0.3,240.0,,0.01,4.0,FAIL
15,0.25903767347335815,2025-05-14 17:01:00.603545,2025-05-14 17:01:30.031834,0 days 00:00:29.428289,128.0,0.4,160.0,,0.01,2.0,COMPLETE
16,1.0824567079544067,2025-05-14 17:01:30.066971,2025-05-14 17:03:31.472990,0 days 00:02:01.406019,16.0,0.4,20.0,,0.0001,4.0,COMPLETE
17,,2025-05-14 17:03:31.499220,2025-05-14 17:05:08.052620,0 days 00:01:36.553400,32.0,0.5,20.0,,0.0001,2.0,FAIL
18,0.16234005987644196,2025-05-14 17:06:09.380535,2025-05-14 17:08:17.658591,0 days 00:02:08.278056,128.0,0.3,40.0,,0.0001,2.0,COMPLETE
19,1.0892589092254639,2025-05-14 17:08:17.694484,2025-05-14 17:09:35.562003,0 days 00:01:17.867519,128.0,0.1,40.0,,0.0001,3.0,COMPLETE
20,0.14891760051250458,2025-05-14 17:09:35.589080,2025-05-14 17:10:09.452062,0 days 00:00:33.862982,64.0,0.4,80.0,,0.001,1.0,COMPLETE
21,0.21825680136680603,2025-05-14 17:10:09.483510,2025-05-14 17:13:42.403028,0 days 00:03:32.919518,256.0,0.5,10.0,,0.0001,2.0,COMPLETE
22,1.0924841165542603,2025-05-14 17:13:42.428912,2025-05-14 17:14:32.049189,0 days 00:00:49.620277,256.0,0.1,10.0,,0.001,4.0,COMPLETE
23,0.1637660413980484,2025-05-14 17:14:32.076440,2025-05-14 17:16:11.159055,0 days 00:01:39.082615,256.0,0.4,240.0,,0.0001,3.0,COMPLETE
24,0.15249255299568176,2025-05-14 17:16:11.189208,2025-05-14 17:17:01.781185,0 days 00:00:50.591977,16.0,0.3,40.0,,0.01,1.0,COMPLETE
25,0.5209939479827881,2025-05-14 17:17:01.811760,2025-05-14 17:17:35.221333,0 days 00:00:33.409573,32.0,0.3,10.0,,0.01,3.0,COMPLETE
26,0.14891760051250458,2025-05-14 17:17:35.247576,2025-05-14 17:18:10.909323,0 days 00:00:35.661747,64.0,0.2,80.0,,0.001,1.0,COMPLETE
27,0.14891760051250458,2025-05-14 17:18:10.936326,2025-05-14 17:18:46.419399,0 days 00:00:35.483073,64.0,0.2,80.0,,0.001,1.0,COMPLETE
28,0.14891760051250458,2025-05-14 17:18:46.445581,2025-05-14 17:19:21.490868,0 days 00:00:35.045287,64.0,0.2,80.0,,0.001,1.0,COMPLETE
29,0.14964556694030762,2025-05-14 17:19:21.517933,2025-05-14 17:19:52.741551,0 days 00:00:31.223618,64.0,0.2,120.0,,0.001,1.0,COMPLETE
30,0.14891760051250458,2025-05-14 17:19:52.768209,2025-05-14 17:20:27.909114,0 days 00:00:35.140905,64.0,0.5,80.0,,0.001,1.0,COMPLETE
31,0.14891760051250458,2025-05-14 17:20:27.934966,2025-05-14 17:21:02.953971,0 days 00:00:35.019005,64.0,0.2,80.0,,0.001,1.0,COMPLETE
32,0.14875756204128265,2025-05-14 17:21:02.979798,2025-05-14 17:21:39.721743,0 days 00:00:36.741945,32.0,0.4,80.0,,0.001,1.0,COMPLETE
33,0.14910173416137695,2025-05-14 17:21:39.753913,2025-05-14 17:22:25.599744,0 days 00:00:45.845831,32.0,0.4,160.0,,0.001,1.0,COMPLETE
